epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.495,2.22414,3.44151,1.93585,0.08275,0.01187,0.00419,0.00143,nan,nan,nan,0.0685036,0.00165771,0.00165771
2,138.23,2.17961,3.11651,1.9447,0.22993,0.0278,0.00768,0.00378,nan,nan,nan,0.0368362,0.00332363,0.00332363
3,203.171,2.01689,2.84278,1.82578,0.3237,0.09971,0.03614,0.0129,2.29588,7.77898,2.02522,0.00516582,0.00498661,0.00498661
4,267.878,1.96678,2.79065,1.83141,0.50202,0.10433,0.07712,0.03646,2.01753,2.98623,1.88993,0.00499001,0.00499001,0.00499001
5,332.7,1.90191,2.7007,1.78824,0.42293,0.10532,0.05871,0.02866,2.10774,61.2896,1.95659,0.00498226,0.00498226,0.00498226
6,398.223,1.85943,2.58977,1.75741,0.34263,0.15992,0.08043,0.03755,1.78201,3.64888,1.71747,0.0049723,0.0049723,0.0049723
7,463.075,1.80868,2.50292,1.69225,0.49535,0.15712,0.08495,0.04789,1.68081,2.4498,1.65302,0.00496015,0.00496015,0.00496015
8,527.603,1.70747,2.38359,1.62832,0.57393,0.15553,0.08964,0.048,1.64354,3.47672,1.62302,0.00494581,0.00494581,0.00494581
9,591.879,1.69272,2.36034,1.61059,0.58367,0.12388,0.08679,0.0464,1.71901,2.54362,1.63677,0.00492931,0.00492931,0.00492931
10,655.973,1.65921,2.22359,1.59783,0.52151,0.18913,0.09708,0.05488,1.59463,2.20686,1.54933,0.00491066,0.00491066,0.00491066
11,720.221,1.63582,2.25394,1.59707,0.59793,0.13519,0.0862,0.04382,1.75731,2.58492,1.66321,0.00488988,0.00488988,0.00488988
12,784.198,1.63671,2.16387,1.56159,0.64248,0.17249,0.10094,0.05567,1.62875,2.60992,1.56945,0.00486698,0.00486698,0.00486698
13,848.2,1.60465,2.18947,1.57662,0.4969,0.20177,0.10405,0.05377,1.7045,2.42577,1.64592,0.004842,0.004842,0.004842
14,912.024,1.62601,2.17379,1.58142,0.66034,0.13296,0.11641,0.06301,1.66929,2.47354,1.65553,0.00481495,0.00481495,0.00481495
15,976.79,1.60024,2.09357,1.55687,0.45102,0.17543,0.1079,0.0627,1.58111,2.21446,1.56726,0.00478586,0.00478586,0.00478586
16,1040.98,1.5406,2.05436,1.50964,0.66929,0.16354,0.12257,0.0713,1.52018,1.9918,1.52151,0.00475476,0.00475476,0.00475476
17,1104.9,1.53637,2.061,1.52408,0.47097,0.2648,0.14069,0.07762,1.52045,2.12541,1.53776,0.00472169,0.00472169,0.00472169
18,1169.59,1.49506,2.01274,1.50004,0.46514,0.22222,0.14344,0.08722,1.49396,2.01368,1.50008,0.00468667,0.00468667,0.00468667
19,1234.51,1.49055,1.99392,1.50659,0.55425,0.20291,0.15113,0.08095,1.53916,1.98847,1.51832,0.00464974,0.00464974,0.00464974
20,1298.63,1.50597,1.9947,1.48428,0.56051,0.21421,0.14125,0.08535,1.494,1.90883,1.50883,0.00461093,0.00461093,0.00461093
21,1362.57,1.52034,1.98368,1.51516,0.4635,0.1815,0.13514,0.0816,1.53234,2.09564,1.5322,0.00457029,0.00457029,0.00457029
22,1427.13,1.47584,1.93918,1.47441,0.54611,0.18457,0.10997,0.06595,1.5276,2.167,1.49375,0.00452785,0.00452785,0.00452785
23,1491.69,1.49125,1.90739,1.49803,0.53611,0.24594,0.13886,0.07928,1.49644,1.97986,1.4994,0.00448365,0.00448365,0.00448365
24,1556.47,1.47614,1.91682,1.47074,0.47728,0.18797,0.13139,0.08096,1.44963,1.95002,1.48791,0.00443775,0.00443775,0.00443775
25,1621.44,1.44148,1.8484,1.44522,0.60443,0.15236,0.12909,0.07776,1.47026,1.9166,1.47478,0.00439018,0.00439018,0.00439018
26,1686.39,1.42769,1.83987,1.42606,0.62367,0.19132,0.14189,0.08383,1.52017,1.94134,1.50601,0.00434099,0.00434099,0.00434099
27,1750.54,1.44872,1.89197,1.48464,0.60587,0.19424,0.14219,0.08538,1.43155,1.8273,1.46508,0.00429023,0.00429023,0.00429023
28,1814.96,1.4211,1.84548,1.46254,0.54467,0.19456,0.15223,0.08952,1.48591,1.89487,1.47592,0.00423795,0.00423795,0.00423795
29,1880.02,1.39439,1.80324,1.42917,0.55415,0.24409,0.15591,0.09221,1.42986,1.84797,1.47076,0.0041842,0.0041842,0.0041842
30,1944.65,1.43038,1.76134,1.44535,0.53427,0.21396,0.14903,0.09258,1.4763,1.92731,1.50553,0.00412904,0.00412904,0.00412904
31,2009.57,1.41978,1.79799,1.42899,0.50042,0.23116,0.15873,0.09322,1.46113,1.85035,1.46097,0.00407252,0.00407252,0.00407252
32,2074.21,1.36778,1.73067,1.40399,0.58052,0.21494,0.16787,0.09655,1.42991,1.8572,1.45859,0.00401469,0.00401469,0.00401469
33,2138.95,1.36646,1.71584,1.40929,0.57032,0.23043,0.1514,0.08756,1.46611,2.0097,1.45946,0.00395561,0.00395561,0.00395561
34,2203.22,1.37547,1.74263,1.40993,0.54811,0.23685,0.15444,0.09337,1.38642,1.79084,1.42488,0.00389534,0.00389534,0.00389534
35,2267.74,1.37635,1.72052,1.41161,0.57889,0.22241,0.17315,0.09857,1.41176,1.90304,1.46385,0.00383395,0.00383395,0.00383395
36,2332.63,1.35139,1.68575,1.40555,0.5582,0.23942,0.18129,0.10377,1.40923,1.76664,1.43733,0.00377148,0.00377148,0.00377148
37,2397.96,1.36312,1.7147,1.40199,0.50612,0.23091,0.17813,0.10757,1.33272,1.84088,1.41229,0.003708,0.003708,0.003708
38,2462.76,1.32436,1.63447,1.36335,0.651,0.19791,0.17527,0.10678,1.35401,1.87372,1.40841,0.00364358,0.00364358,0.00364358
39,2526.69,1.29505,1.6445,1.35891,0.43727,0.23259,0.16932,0.10758,1.36164,1.78121,1.41723,0.00357828,0.00357828,0.00357828
40,2591.38,1.32602,1.61604,1.37474,0.50648,0.25963,0.1941,0.11423,1.37914,1.79228,1.43302,0.00351216,0.00351216,0.00351216
41,2656.19,1.31968,1.61726,1.3805,0.474,0.20835,0.17857,0.10793,1.33331,1.75695,1.40826,0.00344529,0.00344529,0.00344529
42,2720.44,1.29031,1.59344,1.36821,0.53861,0.18329,0.17294,0.10494,1.36085,1.73233,1.40176,0.00337773,0.00337773,0.00337773
43,2784.6,1.30109,1.62977,1.38289,0.44562,0.22842,0.17019,0.10218,1.33031,1.79477,1.38813,0.00330955,0.00330955,0.00330955
44,2848.61,1.27943,1.52376,1.34134,0.5982,0.21088,0.17385,0.10297,1.33939,1.71537,1.38258,0.00324082,0.00324082,0.00324082
45,2912.76,1.282,1.62028,1.36001,0.48403,0.20887,0.16263,0.09867,1.37714,1.75975,1.41772,0.00317161,0.00317161,0.00317161
46,2976.75,1.31401,1.59104,1.35617,0.67482,0.19302,0.16539,0.09881,1.32937,1.78367,1.4043,0.00310198,0.00310198,0.00310198
47,3040.77,1.27651,1.5441,1.34039,0.52027,0.23095,0.17412,0.10578,1.37474,1.76591,1.42961,0.003032,0.003032,0.003032
48,3105,1.26413,1.49787,1.33864,0.52657,0.24685,0.17768,0.10967,1.31109,1.76399,1.39624,0.00296174,0.00296174,0.00296174
49,3169.17,1.2525,1.49875,1.31488,0.59831,0.21802,0.18595,0.10772,1.28732,1.73095,1.3603,0.00289128,0.00289128,0.00289128
50,3233.78,1.26594,1.5435,1.32178,0.60739,0.23242,0.1806,0.10695,1.32962,1.71885,1.3899,0.00282067,0.00282067,0.00282067
